time(ms),brdneighborhoodbytes,brdtrajincellbytes,ntransactions,intable,minsize,minsup,nitemsets,storagethr,repfreq,limit,nexecutors,ncores,maxram,timescale,bint,epst,bins,epss,exploredpatterns
23757,0,236902,3302,trajectory.oldenburg_standard_2000_distinct,10,34,24,1000000,1,1000000,10,2,8g,AbsoluteScale,1,Infinity,20,Infinity,64948
21386,0,238378,3310,trajectory.oldenburg_standard_2000_distinct,10,33,37,1000000,1,1000000,10,2,8g,AbsoluteScale,1,Infinity,20,Infinity,65670
23073,0,240694,3321,trajectory.oldenburg_standard_2000_distinct,10,32,51,1000000,1,1000000,10,2,8g,AbsoluteScale,1,Infinity,20,Infinity,66918
27073,0,243336,3338,trajectory.oldenburg_standard_2000_distinct,10,31,73,1000000,1,1000000,10,2,8g,AbsoluteScale,1,Infinity,20,Infinity,67836
27953,0,245028,3350,trajectory.oldenburg_standard_2000_distinct,10,30,112,1000000,1,1000000,10,2,8g,AbsoluteScale,1,Infinity,20,Infinity,68624
25660,0,247864,3371,trajectory.oldenburg_standard_2000_distinct,10,29,153,1000000,1,1000000,10,2,8g,AbsoluteScale,1,Infinity,20,Infinity,69927
27800,0,250960,3412,trajectory.oldenburg_standard_2000_distinct,10,28,226,1000000,1,1000000,10,2,8g,AbsoluteScale,1,Infinity,20,Infinity,71105
25721,0,252668,3422,trajectory.oldenburg_standard_2000_distinct,10,27,310,1000000,1,1000000,11,2,8g,AbsoluteScale,1,Infinity,20,Infinity,71819
28704,0,254910,3446,trajectory.oldenburg_standard_2000_distinct,10,26,409,1000000,1,1000000,10,2,8g,AbsoluteScale,1,Infinity,20,Infinity,72970
32583,0,258334,3503,trajectory.oldenburg_standard_2000_distinct,10,25,558,1000000,1,1000000,10,2,8g,AbsoluteScale,1,Infinity,20,Infinity,73468
32596,0,259306,3510,trajectory.oldenburg_standard_2000_distinct,10,24,753,1000000,1,1000000,10,2,8g,AbsoluteScale,1,Infinity,20,Infinity,73749
28893,0,260324,3514,trajectory.oldenburg_standard_2000_distinct,10,23,1018,1000000,1,1000000,10,2,8g,AbsoluteScale,1,Infinity,20,Infinity,74411
28311,0,261676,3520,trajectory.oldenburg_standard_2000_distinct,10,22,1360,1000000,1,1000000,10,2,8g,AbsoluteScale,1,Infinity,20,Infinity,75120
25814,0,263916,3552,trajectory.oldenburg_standard_2000_distinct,10,21,1766,1000000,1,1000000,10,2,8g,AbsoluteScale,1,Infinity,20,Infinity,75692
32817,0,265732,3576,trajectory.oldenburg_standard_2000_distinct,10,20,2294,1000000,1,1000000,10,2,8g,AbsoluteScale,1,Infinity,20,Infinity,76230
32100,0,272116,3639,trajectory.oldenburg_standard_2000_distinct,10,15,8566,1000000,1,1000000,10,2,8g,AbsoluteScale,1,Infinity,20,Infinity,77804
35891,0,274468,3659,trajectory.oldenburg_standard_2000_distinct,10,10,25778,1000000,1,1000000,10,2,8g,AbsoluteScale,1,Infinity,20,Infinity,78153
35768,0,275526,3674,trajectory.oldenburg_standard_2000_distinct,10,5,58407,1000000,1,1000000,10,2,8g,AbsoluteScale,1,Infinity,20,Infinity,78220
